@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2026/05/31 15:54:38:228',1,0.08743,0.573555,0.987649,0,0.5,1
2,'2026/05/31 15:54:38:301',1,0.087137,0.573751,0.987962,0,0.5,1
3,'2026/05/31 15:54:38:302',1,0.08773,0.573949,0.985166,0,0.5,1
4,'2026/05/31 15:54:38:319',1,0.088387,0.573183,1,0,0.5,1
5,'2026/05/31 15:54:38:356',1,0.088356,0.575058,0.99409,0,0.5,1
6,'2026/05/31 15:54:38:386',1,0.087913,0.57509,0.99499,0,0.5,1
7,'2026/05/31 15:54:38:420',1,0.088064,0.574677,0.99567,0,0.5,1
8,'2026/05/31 15:54:38:458',1,0.087629,0.575136,0.993537,0,0.5,1
9,'2026/05/31 15:54:38:489',1,0.087053,0.574483,0.997179,0,0.5,1
10,'2026/05/31 15:54:38:521',1,0.086858,0.572772,1,0,0.5,1
11,'2026/05/31 15:54:38:558',1,0.086304,0.572481,1,0,0.5,1
12,'2026/05/31 15:54:38:588',1,0.085631,0.571972,1,0,0.5,1
13,'2026/05/31 15:54:38:620',1,0.085578,0.571414,1,0,0.5,1
14,'2026/05/31 15:54:38:655',1,0.085313,0.571547,0.997339,0,0.5,1
15,'2026/05/31 15:54:38:687',1,0.085169,0.572045,1,0,0.5,1
16,'2026/05/31 15:54:38:721',1,0.085722,0.572041,0.999182,0,0.5,1
17,'2026/05/31 15:54:38:754',1,0.086233,0.572174,0.995989,0,0.5,1
18,'2026/05/31 15:54:38:787',1,0.086555,0.573284,0.989845,0,0.5,1
19,'2026/05/31 15:54:38:819',1,0.087362,0.574038,0.997546,0,0.5,1
20,'2026/05/31 15:54:38:853',1,0.088728,0.573861,0.998856,0,0.5,1
21,'2026/05/31 15:54:38:887',1,0.089696,0.575179,0.987793,0,0.5,1
22,'2026/05/31 15:54:38:920',1,0.090644,0.575869,0.98931,0,0.5,1
23,'2026/05/31 15:54:38:952',1,0.092809,0.576628,0.977131,0,0.5,1
24,'2026/05/31 15:54:38:986',1,0.094924,0.576911,0.963427,0,0.5,1
25,'2026/05/31 15:54:39:020',1,0.096834,0.576496,0.952151,0,0.5,1
26,'2026/05/31 15:54:39:052',1,0.098576,0.575794,0.939679,0,0.5,1
27,'2026/05/31 15:54:39:086',1,0.09964,0.573924,0.938458,0,0.5,1
28,'2026/05/31 15:54:39:120',1,0.10104,0.572622,0.93973,0,0.5,1
29,'2026/05/31 15:54:39:153',1,0.10158,0.572278,0.929556,0,0.5,1
30,'2026/05/31 15:54:39:186',1,0.101121,0.571792,0.928844,0,0.5,1
31,'2026/05/31 15:54:39:220',1,0.102471,0.570958,0.926068,0,0.5,1
32,'2026/05/31 15:54:39:253',1,0.103671,0.569179,0.936714,0,0.5,1
33,'2026/05/31 15:54:39:286',1,0.10454,0.568602,0.94086,0,0.5,1
34,'2026/05/31 15:54:39:320',1,0.10615,0.567333,0.941636,0,0.5,1
35,'2026/05/31 15:54:39:353',1,0.106025,0.567076,0.943345,0,0.5,1
36,'2026/05/31 15:54:39:386',1,0.107168,0.567018,0.954329,0,0.5,1
37,'2026/05/31 15:54:39:419',1,0.108842,0.567155,0.952955,0,0.5,1
38,'2026/05/31 15:54:39:452',1,0.109679,0.567422,0.948183,0,0.5,1
39,'2026/05/31 15:54:39:487',1,0.110677,0.567141,0.953398,0,0.5,1
40,'2026/05/31 15:54:39:519',1,0.111625,0.566805,0.956689,0,0.5,1
41,'2026/05/31 15:54:39:554',1,0.11243,0.566664,0.95222,0,0.5,1
42,'2026/05/31 15:54:39:587',1,0.112994,0.566869,0.949647,0,0.5,1
43,'2026/05/31 15:54:39:620',1,0.113322,0.56728,0.946413,0,0.5,1
